team,opponent,player_name,position,position_id,line,line_id,jersey_number,injury_status,game_time_decision,scrape_date,team_slug,player_id
boston-bruins,edmonton-oilers,Joonas Korpisalo,Backup Goalie,g2,Goalies,g,70.0,,False,2025-12-18,,
buffalo-sabres,philadelphia-flyers,Alex Lyon,Starting Goalie,g1,Goalies,g,34.0,,False,2025-12-18,,
buffalo-sabres,philadelphia-flyers,Ukko-Pekka Luukkonen,Backup Goalie,g2,Goalies,g,1.0,,False,2025-12-18,,
calgary-flames,seattle-kraken,Dustin Wolf,Starting Goalie,g1,Goalies,g,32.0,,False,2025-12-18,,
calgary-flames,seattle-kraken,Devin Cooley,Backup Goalie,g2,Goalies,g,,,False,2025-12-18,,
chicago-blackhawks,montreal-canadiens,Spencer Knight,Starting Goalie,g1,Goalies,g,30.0,,False,2025-12-18,,
chicago-blackhawks,montreal-canadiens,Arvid Soderblom,Backup Goalie,g2,Goalies,g,40.0,,False,2025-12-18,,
columbus-blue-jackets,minnesota-wild,Jet Greaves,Starting Goalie,g1,Goalies,g,,,False,2025-12-18,,
columbus-blue-jackets,minnesota-wild,Elvis Merzlikins,Backup Goalie,g2,Goalies,g,90.0,,False,2025-12-18,,
dallas-stars,san-jose-sharks,Jake Oettinger,Starting Goalie,g1,Goalies,g,29.0,,False,2025-12-18,,
dallas-stars,san-jose-sharks,Casey DeSmith,Backup Goalie,g2,Goalies,g,1.0,,False,2025-12-18,,
edmonton-oilers,boston-bruins,Tristan Jarry,Starting Goalie,g1,Goalies,g,,,False,2025-12-18,,
edmonton-oilers,boston-bruins,Calvin Pickard,Backup Goalie,g2,Goalies,g,30.0,,False,2025-12-18,,
los-angeles-kings,tampa-bay-lightning,Pheonix Copley,Starting Goalie,g1,Goalies,g,,,False,2025-12-18,,
los-angeles-kings,tampa-bay-lightning,Anton Forsberg,Backup Goalie,g2,Goalies,g,31.0,,False,2025-12-18,,
minnesota-wild,columbus-blue-jackets,Jesper Wallstedt,Starting Goalie,g1,Goalies,g,,,False,2025-12-18,,
minnesota-wild,columbus-blue-jackets,Filip Gustavsson,Backup Goalie,g2,Goalies,g,32.0,,False,2025-12-18,,
montreal-canadiens,chicago-blackhawks,Jakub Dobes,Starting Goalie,g1,Goalies,g,75.0,,False,2025-12-18,,
montreal-canadiens,chicago-blackhawks,Jacob Fowler,Backup Goalie,g2,Goalies,g,,,False,2025-12-18,,
new-york-rangers,st-louis-blues,Igor Shesterkin,Starting Goalie,g1,Goalies,g,31.0,,False,2025-12-18,,
new-york-rangers,st-louis-blues,Jonathan Quick,Backup Goalie,g2,Goalies,g,32.0,,False,2025-12-18,,
ottawa-senators,pittsburgh-penguins,Linus Ullmark,Starting Goalie,g1,Goalies,g,35.0,,False,2025-12-18,,
ottawa-senators,pittsburgh-penguins,Leevi Merilainen,Backup Goalie,g2,Goalies,g,1.0,,False,2025-12-18,,
philadelphia-flyers,buffalo-sabres,Dan Vladar,Starting Goalie,g1,Goalies,g,80.0,,False,2025-12-18,,
philadelphia-flyers,buffalo-sabres,Samuel Ersson,Backup Goalie,g2,Goalies,g,33.0,,False,2025-12-18,,
pittsburgh-penguins,ottawa-senators,Arturs Silovs,Starting Goalie,g1,Goalies,g,,,False,2025-12-18,,
pittsburgh-penguins,ottawa-senators,Stuart Skinner,Backup Goalie,g2,Goalies,g,74.0,,False,2025-12-18,,
san-jose-sharks,dallas-stars,Yaroslav Askarov,Starting Goalie,g1,Goalies,g,30.0,,False,2025-12-18,,
san-jose-sharks,dallas-stars,Alex Nedeljkovic,Backup Goalie,g2,Goalies,g,33.0,,False,2025-12-18,,
seattle-kraken,calgary-flames,Joey Daccord,Starting Goalie,g1,Goalies,g,35.0,,False,2025-12-18,,
seattle-kraken,calgary-flames,Philipp Grubauer,Backup Goalie,g2,Goalies,g,31.0,,False,2025-12-18,,
st-louis-blues,new-york-rangers,Joel Hofer,Starting Goalie,g1,Goalies,g,30.0,,False,2025-12-18,,
st-louis-blues,new-york-rangers,Jordan Binnington,Backup Goalie,g2,Goalies,g,50.0,,False,2025-12-18,,
tampa-bay-lightning,los-angeles-kings,Andrei Vasilevskiy,Starting Goalie,g1,Goalies,g,88.0,,True,2025-12-18,,
tampa-bay-lightning,los-angeles-kings,Jonas Johansson,Backup Goalie,g2,Goalies,g,31.0,,False,2025-12-18,,
toronto-maple-leafs,washington-capitals,Dennis Hildeby,Starting Goalie,g1,Goalies,g,,,False,2025-12-18,,
toronto-maple-leafs,washington-capitals,Joseph Woll,Backup Goalie,g2,Goalies,g,60.0,,False,2025-12-18,,
washington-capitals,toronto-maple-leafs,Logan Thompson,Starting Goalie,g1,Goalies,g,48.0,,False,2025-12-18,,
washington-capitals,toronto-maple-leafs,Charlie Lindgren,Backup Goalie,g2,Goalies,g,79.0,,False,2025-12-18,,
anaheim-ducks,dallas-stars,Lukas Dostal,Starting Goalie,g1,Goalies,g,1.0,,False,2025-12-19,,
